date,users_active,total_sales,new_customers,sales_per_user,new_customer_rate
2023-06-01,179,81287.31,9,454.1190502793296,0.05027932960893855
2023-06-02,67,74771.99,5,1115.9998507462687,0.07462686567164178
2023-06-03,369,84809.74,11,229.83669376693769,0.02981029810298103
2023-06-04,94,61212.3,3,651.1946808510638,0.031914893617021274
2023-06-05,402,80911.49,10,201.2723631840796,0.024875621890547265
2023-06-06,479,43124.77,10,90.03083507306889,0.020876826722338204
2023-06-07,218,21758.84,5,99.81119266055046,0.022935779816513763
2023-06-08,265,70662.79,6,266.65203773584904,0.022641509433962263
2023-06-09,118,61153.83,5,518.2527966101695,0.0423728813559322
2023-06-10,170,80175.22,11,471.61894117647057,0.06470588235294118
2023-06-11,327,76432.82,5,233.73951070336395,0.01529051987767584
2023-06-12,219,55803.75,3,254.81164383561645,0.0136986301369863
2023-06-13,256,89165.0,7,348.30078125,0.02734375
2023-06-14,162,35310.77,12,217.9677160493827,0.07407407407407407
2023-06-15,205,80030.41,8,390.392243902439,0.03902439024390244
2023-06-16,418,37341.22,13,89.33306220095695,0.03110047846889952
2023-06-17,134,73719.01,3,550.1418656716418,0.022388059701492536
2023-06-18,469,88259.76,13,188.18712153518123,0.02771855010660981
2023-06-19,405,83266.28,8,205.59575308641976,0.019753086419753086
2023-06-20,197,61980.23,7,314.6204568527919,0.03553299492385787
2023-06-21,250,41100.58,2,164.40232,0.008
2023-06-22,416,29874.64,11,71.81403846153846,0.026442307692307692
2023-06-23,430,53883.13,9,125.30960465116279,0.020930232558139535
2023-06-24,483,75958.39,11,157.26374741200829,0.022774327122153208
2023-06-25,400,71666.22,1,179.16555,0.0025
2023-06-26,69,39068.22,12,566.2060869565217,0.17391304347826086
2023-06-27,76,35872.54,4,472.0071052631579,0.05263157894736842
2023-06-28,270,31646.37,9,117.20877777777777,0.03333333333333333
2023-06-29,228,46509.93,1,203.9909210526316,0.0043859649122807015
2023-06-30,497,51181.34,7,102.98056338028168,0.014084507042253521
2023-07-01,470,25400.22,5,54.043021276595745,0.010638297872340425
2023-07-02,458,29939.32,9,65.3696943231441,0.019650655021834062
2023-07-03,240,72595.61,8,302.48170833333336,0.03333333333333333
2023-07-04,255,84322.06,3,330.6747450980392,0.011764705882352941
2023-07-05,288,20825.27,11,72.30996527777778,0.03819444444444445
