user_id,event_type,event_time,product_id,amount,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,event_id,transaction_amount,session_duration,timestamp,session_id
U0099,checkout,2023-06-03 04:13,P010,,C,13.05,,B,0.81,155.0,B,,,,,,,35.34,629.0,,86.57,341.0,C,,473.0,B,,,A,,39.0,A,66.34,130.0,B,,,B,79.32,,B,39.66,138.0,C,,902.0,A,,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0240,wishlist_add,2023-06-03 05:08,P020,2900.63,,,,C,,,C,30.72,440.0,B,58.21,165.0,C,98.23,249.0,C,,,B,,586.0,A,,875.0,C,25.86,509.0,A,48.62,,,28.49,693.0,,,714.0,,39.97,507.0,B,,632.0,,38.45,890.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0374,profile_update,2023-06-05 06:22,P028,,A,,,B,60.06,2.0,C,,302.0,,66.66,114.0,A,28.32,247.0,A,,,,51.54,190.0,,16.59,871.0,A,28.23,,B,82.94,,C,,,B,,,,,293.0,,,394.0,,,490.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0122,page_view,2023-06-06 03:45,P001,,C,,747.0,B,,758.0,A,78.44,849.0,,87.51,,A,33.97,217.0,C,86.57,623.0,C,46.57,,,36.31,,C,52.44,921.0,,83.77,789.0,,,936.0,,34.84,365.0,C,67.84,705.0,A,96.06,110.0,,,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0211,wishlist_add,2023-06-03 12:38,P015,1728.27,A,40.19,515.0,A,,63.0,B,,851.0,C,12.15,,C,19.6,,A,77.96,536.0,,,,C,30.45,,C,,715.0,C,8.26,152.0,,86.18,173.0,,,,C,,876.0,,,,B,,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0208,login,2023-06-04 03:13,P018,2185.84,C,,,C,84.13,397.0,A,31.7,38.0,C,82.58,,C,,528.0,A,,880.0,B,,,,57.62,,B,99.62,429.0,,40.63,121.0,,38.72,235.0,C,68.85,600.0,A,81.4,563.0,B,,248.0,C,,71.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0327,checkout,2023-06-06 08:16,P006,2875.06,A,36.69,989.0,A,38.06,314.0,C,,210.0,,68.78,,,34.54,18.0,A,,,C,84.19,,C,88.4,892.0,A,31.21,653.0,A,5.9,,A,,935.0,A,,890.0,,,985.0,C,2.94,660.0,A,85.93,495.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0249,logout,2023-06-01 13:12,P005,,B,16.1,637.0,B,,778.0,B,,996.0,B,,813.0,B,,,B,85.61,786.0,A,64.5,231.0,A,45.07,742.0,,74.73,213.0,B,41.4,824.0,B,83.67,539.0,B,92.12,,B,,,B,82.67,724.0,A,23.23,593.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0098,logout,2023-06-05 17:55,P025,,C,,,,88.93,,A,17.99,905.0,B,47.56,,A,80.08,400.0,B,40.53,284.0,A,72.47,,A,47.92,420.0,C,,153.0,B,12.97,912.0,A,,738.0,A,79.52,512.0,A,,962.0,,95.71,,A,24.34,44.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0056,profile_update,2023-06-05 03:26,P026,,A,,583.0,,,,C,,351.0,A,96.28,,C,,,,,,B,19.89,,C,87.27,544.0,A,71.91,560.0,,,922.0,A,70.88,608.0,,21.15,661.0,C,25.97,821.0,A,96.59,572.0,A,71.8,658.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0063,wishlist_add,2023-06-06 08:09,P010,986.77,B,13.05,482.0,B,,266.0,,,,B,68.07,699.0,A,39.81,227.0,A,,85.0,A,50.78,,,8.37,890.0,,78.57,91.0,A,93.29,172.0,C,,346.0,B,60.25,670.0,A,,234.0,,95.03,796.0,A,,205.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
