user_id,user_segment
U0099,Standard
U0240,Standard
U0374,Standard
U0122,Standard
U0211,Standard
U0208,Standard
U0327,Standard
U0249,Standard
U0098,Standard
U0056,Standard
U0063,Standard
U0131,Standard
U0100,Standard
U0218,Standard
U0144,Standard
U0116,Standard
U0032,Standard
U0341,Standard
U0033,Standard
U0317,Standard
U0007,Standard
U0070,Standard
U0048,Standard
U0367,Standard
U0170,Standard
U0262,Standard
U0269,Standard
U0251,Standard
U0377,Standard
U0145,Standard
U0312,Standard
U0285,Standard
U0339,Standard
U0005,Standard
U0389,Standard
U0180,Standard
U0120,Standard
U0052,Standard
U0192,Standard
U0190,Standard
U0325,Standard
U0343,Standard
U0158,Standard
U0225,Standard
U0017,Standard
U0232,Standard
U0057,Standard
U0271,Standard
U0349,Standard
U0188,Standard
U0334,Standard
U0297,Standard
U0013,Standard
U0331,Standard
U0337,Standard
U0015,Standard
U0383,Standard
U0279,Standard
U0206,Standard
U0019,Standard
U0186,Standard
U0313,Standard
U0252,Standard
U0307,Standard
U0024,Standard
U0234,Standard
U0178,Standard
U0093,Standard
U0095,Standard
U0031,Standard
U0332,Standard
U0309,Standard
U0221,Standard
U0110,Standard
U0328,Standard
U0129,Standard
U0291,Standard
U0390,Standard
U0036,Standard
U0344,Standard
U0050,Standard
U0047,Standard
U0134,Standard
U0204,Standard
U0139,Standard
U0042,Standard
U0114,Standard
U0091,Standard
U0079,Standard
U0264,Standard
U0333,Standard
U0304,Standard
U0012,Standard
U0014,Standard
U0354,Standard
U0369,Standard
U0168,Standard
U0173,Standard
U0385,Standard
U0143,Standard
U0282,Standard
U0294,Standard
U0087,Standard
U0244,Standard
U0053,Standard
U0154,Standard
U0298,Standard
U0335,Standard
U0274,Standard
U0105,Standard
U0207,Standard
U0151,Standard
U0051,Standard
U0084,Standard
U0094,Standard
U0109,Standard
U0059,Standard
U0290,Standard
U0228,Standard
U0213,Standard
U0235,Standard
U0318,Standard
U0113,Standard
U0209,Standard
U0137,Standard
U0205,Standard
U0117,Standard
U0163,Standard
U0123,Standard
U0002,Standard
U0324,Standard
U0359,Standard
U0371,Standard
U0021,Standard
U0239,Standard
U0257,Standard
U0255,Standard
U0078,Standard
U0224,Standard
