user_key,product_key,event_type_key,date_key,session_id,event_time,amount,minutes_since_prev
1,7,3,20230601,U0001_S1,2023-06-01 15:28:00,0.0,
1,28,8,20230605,U0001_S2,2023-06-05 01:45:00,960.51,4937.0
1,11,7,20230605,U0001_S3,2023-06-05 08:01:00,0.0,376.0
2,7,3,20230601,U0002_S1,2023-06-01 16:53:00,0.0,
2,10,5,20230601,U0002_S2,2023-06-01 17:43:00,859.28,50.0
2,26,5,20230606,U0002_S3,2023-06-06 11:26:00,0.0,6823.0
3,6,2,20230601,U0003_S1,2023-06-01 18:49:00,2371.12,
3,5,6,20230605,U0003_S2,2023-06-05 12:58:00,0.0,5409.0
3,17,8,20230605,U0003_S3,2023-06-05 19:31:00,604.81,393.0
3,20,2,20230606,U0003_S4,2023-06-06 05:14:00,0.0,583.0
3,12,1,20230606,U0003_S5,2023-06-06 07:07:00,0.0,113.0
3,20,8,20230606,U0003_S6,2023-06-06 12:48:00,723.44,341.0
4,13,1,20230603,U0004_S1,2023-06-03 11:36:00,1945.57,
4,3,4,20230603,U0004_S2,2023-06-03 23:36:00,0.0,720.0
4,11,7,20230605,U0004_S3,2023-06-05 00:19:00,0.0,1483.0
5,10,4,20230601,U0005_S1,2023-06-01 18:23:00,0.0,
5,6,4,20230603,U0005_S2,2023-06-03 09:35:00,2436.31,2352.0
5,17,5,20230604,U0005_S3,2023-06-04 22:06:00,0.0,2191.0
6,21,6,20230601,U0006_S1,2023-06-01 13:42:00,0.0,
6,2,2,20230604,U0006_S2,2023-06-04 05:23:00,2643.34,3821.0
6,20,8,20230606,U0006_S3,2023-06-06 08:52:00,1155.58,3089.0
7,2,3,20230601,U0007_S1,2023-06-01 15:44:00,711.38,
7,1,6,20230601,U0007_S2,2023-06-01 22:41:00,2132.21,417.0
7,11,5,20230602,U0007_S3,2023-06-02 14:06:00,1591.4,925.0
7,9,6,20230603,U0007_S4,2023-06-03 09:37:00,0.0,1171.0
7,14,8,20230603,U0007_S5,2023-06-03 18:11:00,695.42,514.0
7,19,7,20230604,U0007_S6,2023-06-04 10:42:00,0.0,991.0
7,3,3,20230605,U0007_S7,2023-06-05 12:50:00,0.0,1568.0
8,2,3,20230602,U0008_S1,2023-06-02 10:15:00,0.0,
8,5,7,20230602,U0008_S2,2023-06-02 19:55:00,0.0,580.0
8,21,4,20230604,U0008_S3,2023-06-04 15:45:00,640.92,2630.0
8,7,4,20230606,U0008_S4,2023-06-06 17:27:00,651.23,2982.0
