session_id,user_key,date_key,session_start,session_end,session_duration_minutes,event_count,unique_products,session_revenue
U0001_S1,1,20230601,2023-06-01 15:28:00,2023-06-01 15:28:00,0.0,1,1,0.0
U0001_S2,1,20230605,2023-06-05 01:45:00,2023-06-05 01:45:00,0.0,1,1,960.51
U0001_S3,1,20230605,2023-06-05 08:01:00,2023-06-05 08:01:00,0.0,1,1,0.0
U0002_S1,2,20230601,2023-06-01 16:53:00,2023-06-01 16:53:00,0.0,1,1,0.0
U0002_S2,2,20230601,2023-06-01 17:43:00,2023-06-01 17:43:00,0.0,1,1,859.28
U0002_S3,2,20230606,2023-06-06 11:26:00,2023-06-06 11:26:00,0.0,1,1,0.0
U0003_S1,3,20230601,2023-06-01 18:49:00,2023-06-01 18:49:00,0.0,1,1,2371.12
U0003_S2,3,20230605,2023-06-05 12:58:00,2023-06-05 12:58:00,0.0,1,1,0.0
U0003_S3,3,20230605,2023-06-05 19:31:00,2023-06-05 19:31:00,0.0,1,1,604.81
U0003_S4,3,20230606,2023-06-06 05:14:00,2023-06-06 05:14:00,0.0,1,1,0.0
U0003_S5,3,20230606,2023-06-06 07:07:00,2023-06-06 07:07:00,0.0,1,1,0.0
U0003_S6,3,20230606,2023-06-06 12:48:00,2023-06-06 12:48:00,0.0,1,1,723.44
U0004_S1,4,20230603,2023-06-03 11:36:00,2023-06-03 11:36:00,0.0,1,1,1945.57
U0004_S2,4,20230603,2023-06-03 23:36:00,2023-06-03 23:36:00,0.0,1,1,0.0
U0004_S3,4,20230605,2023-06-05 00:19:00,2023-06-05 00:19:00,0.0,1,1,0.0
U0005_S1,5,20230601,2023-06-01 18:23:00,2023-06-01 18:23:00,0.0,1,1,0.0
U0005_S2,5,20230603,2023-06-03 09:35:00,2023-06-03 09:35:00,0.0,1,1,2436.31
U0005_S3,5,20230604,2023-06-04 22:06:00,2023-06-04 22:06:00,0.0,1,1,0.0
U0006_S1,6,20230601,2023-06-01 13:42:00,2023-06-01 13:42:00,0.0,1,1,0.0
U0006_S2,6,20230604,2023-06-04 05:23:00,2023-06-04 05:23:00,0.0,1,1,2643.34
U0006_S3,6,20230606,2023-06-06 08:52:00,2023-06-06 08:52:00,0.0,1,1,1155.58
U0007_S1,7,20230601,2023-06-01 15:44:00,2023-06-01 15:44:00,0.0,1,1,711.38
U0007_S2,7,20230601,2023-06-01 22:41:00,2023-06-01 22:41:00,0.0,1,1,2132.21
U0007_S3,7,20230602,2023-06-02 14:06:00,2023-06-02 14:06:00,0.0,1,1,1591.4
U0007_S4,7,20230603,2023-06-03 09:37:00,2023-06-03 09:37:00,0.0,1,1,0.0
U0007_S5,7,20230603,2023-06-03 18:11:00,2023-06-03 18:11:00,0.0,1,1,695.42
